Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
94	-1599202819	4	0	0	288	11	0.963211	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
95	-1479231924	4	0	0	288	11	0.963211	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
96	-1586865892	4	8	103	185	3	0.645485	0.684817	0.072072	0.371237	0.357639	0.683500	2.033539	1.000000	0.070175	0.369634	0.026756	0.642361	0.727273	0.013098	0.684817	
97	-80232577	4	8	103	185	3	0.645485	0.684817	0.072072	0.371237	0.357639	0.683500	2.033539	1.000000	0.070175	0.369634	0.026756	0.642361	0.727273	0.013098	0.684817	
98	-135313003	4	0	0	288	11	0.963211	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
99	-1394703244	4	1	3	285	10	0.956522	0.540246	0.250000	0.013378	0.010417	0.299937	8.727273	1.000000	0.071429	0.080492	0.003344	0.989583	0.090909	0.002852	0.540246	
100	1255265819	4	8	102	186	3	0.648829	0.686553	0.072727	0.367893	0.354167	0.685344	2.053476	1.000000	0.070796	0.373106	0.026756	0.645833	0.727273	0.013221	0.686553	
101	-1196081435	4	8	113	175	3	0.612040	0.667456	0.066116	0.404682	0.392361	0.664770	1.853580	1.000000	0.064516	0.334912	0.026756	0.607639	0.727273	0.011868	0.667456	
102	1503610659	4	8	103	185	3	0.645485	0.684817	0.072072	0.371237	0.357639	0.683500	2.033539	1.000000	0.070175	0.369634	0.026756	0.642361	0.727273	0.013098	0.684817	
103	-2013629508	4	8	102	186	3	0.648829	0.686553	0.072727	0.367893	0.354167	0.685344	2.053476	1.000000	0.070796	0.373106	0.026756	0.645833	0.727273	0.013221	0.686553	
104	-1547970280	4	8	103	185	3	0.645485	0.684817	0.072072	0.371237	0.357639	0.683500	2.033539	1.000000	0.070175	0.369634	0.026756	0.642361	0.727273	0.013098	0.684817	
105	1261079560	5	23	117	149	10	0.575251	0.628560	0.164286	0.468227	0.439850	0.624826	1.584564	1.000000	0.153333	0.257120	0.076923	0.560150	0.696970	0.025246	0.628560	
